A,B,E,F,M,P,CMT,id,notes
0.0,0.0,0.0,0.0,12.6,0.0,9.857142857142858,1,
7.111111111111111,7.260869565217392,7.2727272727272725,5.0,12.6,7.416666666666667,9.857142857142858,2,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,beam
7.111111111111111,7.173913043478261,7.2727272727272725,5.0,12.6,7.375,9.714285714285714,5,
7.148148148148148,7.260869565217392,7.2727272727272725,5.0,12.6,7.416666666666667,9.714285714285714,6,
7.148148148148148,7.260869565217392,7.363636363636363,5.0,12.6,7.375,9.857142857142858,7,
7.111111111111111,7.260869565217392,7.2727272727272725,5.333333333333333,12.6,7.416666666666667,9.857142857142858,8,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,beam
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,beam
7.111111111111111,7.260869565217392,7.2727272727272725,5.0,12.6,7.416666666666667,9.857142857142858,11,
7.111111111111111,7.173913043478261,7.2727272727272725,5.0,12.6,7.333333333333333,9.714285714285714,12,
7.148148148148148,7.260869565217392,7.363636363636363,5.0,12.6,7.458333333333333,9.714285714285714,13,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,beam
7.111111111111111,7.173913043478261,7.2727272727272725,5.0,12.6,7.375,9.714285714285714,15,
7.148148148148148,7.304347826086956,7.363636363636363,5.0,12.6,7.416666666666667,9.857142857142858,17,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,beam
7.148148148148148,7.260869565217392,7.454545454545454,5.0,12.6,7.458333333333333,9.857142857142858,18,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,beam
7.148148148148148,7.260869565217392,7.2727272727272725,5.0,12.6,7.416666666666667,9.714285714285714,21,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,beam
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,beam
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,beam
7.37037037037037,8.130434782608695,8.272727272727273,28.333333333333332,21.6,8.083333333333334,14.571428571428571,34,
7.703703703703703,9.608695652173912,8.090909090909092,16.0,29.0,7.875,17.857142857142858,36,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,beam
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,beam
7.407407407407407,7.6521739130434785,7.454545454545454,5.333333333333333,13.4,7.875,10.428571428571429,42,
7.407407407407407,7.6521739130434785,7.454545454545454,5.333333333333333,13.4,7.875,10.428571428571429,43,
7.37037037037037,8.130434782608695,8.272727272727273,28.333333333333332,21.6,8.083333333333334,14.571428571428571,47,
7.407407407407407,7.6521739130434785,7.454545454545454,5.333333333333333,13.4,7.875,10.428571428571429,50,
7.37037037037037,8.130434782608695,8.272727272727273,28.333333333333332,21.6,8.083333333333334,14.571428571428571,57,
7.296296296296297,7.478260869565218,7.636363636363637,5.333333333333333,12.6,7.833333333333333,10.142857142857142,58,
7.703703703703703,9.608695652173912,8.090909090909092,16.0,29.0,7.875,17.857142857142858,59,
7.407407407407407,7.6521739130434785,7.454545454545454,5.333333333333333,13.4,7.875,10.428571428571429,61,
0.0,7.608695652173913,0.0,5.666666666666667,0.0,0.0,0.0,64,
7.703703703703703,9.608695652173912,8.090909090909092,16.0,29.0,7.875,17.857142857142858,68,
7.407407407407407,7.6521739130434785,7.454545454545454,5.333333333333333,13.4,7.875,10.428571428571429,70,
48.44444444444444,50.04347826086956,59.45454545454545,0.0,0.0,47.208333333333336,0.0,45,
48.44444444444444,50.04347826086956,59.45454545454545,0.0,0.0,47.208333333333336,0.0,63,
0.0,7.608695652173913,0.0,5.666666666666667,0.0,0.0,0.0,71,
7.62962962962963,7.956521739130435,9.272727272727273,24.333333333333332,25.6,9.583333333333334,17.428571428571427,74,
9.518518518518519,10.608695652173912,8.181818181818182,11.333333333333334,20.6,7.958333333333333,15.857142857142858,76,
7.333333333333333,7.739130434782608,7.636363636363637,5.666666666666667,18.8,7.833333333333333,14.285714285714286,78,
7.555555555555555,7.6521739130434785,8.0,7.333333333333333,14.0,8.0,10.428571428571429,77,
7.925925925925926,8.26086956521739,8.454545454545455,13.0,17.4,8.375,12.857142857142858,80,
48.44444444444444,50.04347826086956,59.45454545454545,0.0,0.0,47.208333333333336,0.0,81,
7.37037037037037,7.869565217391305,7.909090909090909,19.666666666666668,16.0,8.0,12.0,79,
7.407407407407407,7.826086956521739,8.727272727272727,24.0,25.8,8.166666666666666,16.428571428571427,84,
8.037037037037036,9.521739130434783,8.727272727272727,21.666666666666668,40.8,8.083333333333334,23.428571428571427,85,
7.37037037037037,7.869565217391305,7.636363636363637,6.0,13.0,7.916666666666667,10.142857142857142,87,
7.407407407407407,7.478260869565218,7.636363636363637,5.666666666666667,12.8,7.708333333333333,10.142857142857142,91,
7.111111111111111,7.260869565217392,7.2727272727272725,5.0,12.6,7.416666666666667,9.857142857142858,94,
7.481481481481482,7.6521739130434785,7.545454545454546,5.666666666666667,12.8,7.958333333333333,10.0,92,
7.851851851851852,8.521739130434783,8.272727272727273,6.333333333333333,13.0,8.375,10.571428571428571,90,
7.62962962962963,8.652173913043478,8.0,6.0,13.6,8.041666666666666,10.571428571428571,97,
7.296296296296297,7.782608695652174,7.7272727272727275,5.666666666666667,13.6,8.0,10.428571428571429,98,
7.2592592592592595,7.826086956521739,7.363636363636363,5.0,14.4,7.416666666666667,11.142857142857142,99,
7.37037037037037,8.130434782608695,8.272727272727273,28.333333333333332,21.6,8.083333333333334,14.571428571428571,100,
7.703703703703703,9.608695652173912,8.090909090909092,16.0,29.0,7.875,17.857142857142858,101,
7.407407407407407,7.6521739130434785,7.454545454545454,5.333333333333333,13.4,7.875,10.428571428571429,102,
7.333333333333333,8.0,7.909090909090909,7.333333333333333,15.6,7.75,11.857142857142858,103,
0.0,7.608695652173913,0.0,5.666666666666667,0.0,0.0,0.0,104,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,122,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,
0.0,0.0,0.0,0.0,12.8,8.041666666666666,10.285714285714286,133,
0.0,0.0,0.0,0.0,12.8,8.041666666666666,10.285714285714286,134,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,152,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,
7.111111111111111,7.260869565217392,0.0,5.0,12.6,7.375,9.857142857142858,0,
